"city","car_use_percent","population","air_so2_concentration_ppm"
"A",0.190134382416094,52756.5314249283,0.30875771371814
"B",0.252173882962928,183568.684515108,2.05706964284453
"C",0.335154755282054,3283.32786638197,0.586131219521017
"D",0.136882741130188,88007.25921185,0.403133885424921
"E",0.0364552717458052,35903.0047980644,0.0900444019021207
"F",0.303230942921079,140839.253014359,1.35560297302912
"G",0.14375221602985,15180.0334805993,0.251325016692866
"H",0.249544980033322,139114.661489497,1.58342865316885
"I",0.361425083409187,103599.798822153,1.13994748498161
"J",0.338290697831572,180702.787603578,2.10768370211713
"K",0.196632127141731,42225.9158316804,0.258086067744819
"L",0.24409012049006,38224.4789733218,0.0259767617786383
"M",0.476868127980719,129507.815523588,0.742013180835027
"N",0.317945589041759,171143.968917584,1.0551580095064
"O",0.36861482280624,149787.486449705,1.31607513918452
"P",0.274272664357669,83678.7405815131,0.292035070648468
"Q",0.203901938822593,197880.644682874,1.02634891150224
"R",0.286372747478132,85660.6854452794,0.396121269721528
"S",0.455659776900129,8403.03044607693,0.214975220258193
"T",0.473156054754603,97565.7281633811,0.827073191282091
"U",0.19206877210245,48528.2617528398,0.247901186578548
"V",0.350386640960975,164651.550343336,1.99218273518431
"W",0.30434809916069,15859.0924289424,0.0795721595761055
"X",0.243985549347108,83711.5830297354,0.788834767994824
"Y",0.197206535295311,97985.9454294047,1.02800369521977
"Z",0.269926156472246,40674.411821891,0.276055402364624
"AA",0.019304676191574,92591.8157582035,0.699351908218825
"AB",0.203432918113603,46776.7247762857,0.274653928913565
"AC",0.103788744117126,94149.9575257866,1.07909093594314
"AD",0.0964235576042133,103820.666194,1.19808540791048
"AE",0.390718083573319,68818.0500133318,0.400331567650965
"AF",0.308158298746279,83231.6811407635,0.290531523517468
